time,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,Nina_index,DEW_ave,TEMP_ave,RH_ave,DEW_max,TEMP_max,RH_max,sp_ave,tcc_ave,tp_sum,ws_ave,wd_ave
2/1/1990,TSN,10.818797,106.651856,1990,2,1,0.21,18.47692308,27.77307692,59.71767431,21.8,33,88.9439478,101.1227183,0.090433753,9.27E-06,1.951080534,204.4666619
2/2/1990,TSN,10.818797,106.651856,1990,2,2,0.21,20.90714286,27.05357143,71.24082721,23,33.9,92.3743241,101.2094746,0.15237494,0,1.933847437,202.6359686
2/3/1990,TSN,10.818797,106.651856,1990,2,3,0.21,21.36,28.808,64.73146842,23,33,85.27368103,101.2343021,0.107168124,6.77E-05,1.816357447,148.7689199
2/4/1990,TSN,10.818797,106.651856,1990,2,4,0.21,20.635,30.11,58.17826513,23,33.4,82.3286052,101.1944196,0.300853578,9.52E-05,2.202502108,99.59293812
2/5/1990,TSN,10.818797,106.651856,1990,2,5,0.21,19.03095238,28.57857143,57.97832343,20.3,34,82.24408619,101.2553151,0.645546325,0,1.888465303,93.79869806
2/6/1990,TSN,10.818797,106.651856,1990,2,6,0.21,18.72432432,28.86756757,56.4513333,20.1,34.8,84.23504302,101.3250022,0.114247578,0,3.113611972,93.70465248
2/7/1990,TSN,10.818797,106.651856,1990,2,7,0.21,17.98611111,29.23888889,52.23034052,19.2,34,73.61109931,101.3624402,0.240623309,0,2.245110711,83.28132551
2/8/1990,TSN,10.818797,106.651856,1990,2,8,0.21,18.16216216,28.53513514,55.93442729,20,34,78.33549824,101.2632158,0.132810248,0,2.906515851,107.35765
2/9/1990,TSN,10.818797,106.651856,1990,2,9,0.21,18.64411765,28.37941176,57.40817577,20,34,78.76563674,101.2326517,0.460284847,0,3.410045899,105.4916627
2/10/1990,TSN,10.818797,106.651856,1990,2,10,0.21,18.36470588,28.07058824,58.84973076,20.5,34,88.35161526,101.3202004,0.164698311,0,2.539203549,101.7451912
2/11/1990,TSN,10.818797,106.651856,1990,2,11,0.21,18.21666667,30.63333333,49.73049964,20,36,79.7085379,101.3001386,0.195419224,6.87E-07,3.224764204,107.2406749
2/12/1990,TSN,10.818797,106.651856,1990,2,12,0.21,19.4125,28.2875,60.42201431,20.2,34,83.20904347,101.2716674,0.249442112,0,2.912850582,100.3099026
2/13/1990,TSN,10.818797,106.651856,1990,2,13,0.21,19.73823529,28.35,60.56253228,20.4,33,80.20534014,101.2135679,0.151883057,0,3.236163243,122.2749707
2/14/1990,TSN,10.818797,106.651856,1990,2,14,0.21,20.621875,27.59375,67.69246146,22.1,34,83.43764449,101.1041902,0.15705263,0,3.012142743,133.0522191
2/15/1990,TSN,10.818797,106.651856,1990,2,15,0.21,20.51944444,27.41944444,67.25031313,22,33,83.43764449,101.0468598,0.221206257,2.33E-06,3.065798046,136.7340068
2/16/1990,TSN,10.818797,106.651856,1990,2,16,0.21,21.06315789,27.74736842,68.56010424,22.4,34,86.00873586,101.0316954,0.083700931,5.34E-07,2.803412103,140.0861875
2/17/1990,TSN,10.818797,106.651856,1990,2,17,0.21,21.20571429,27.86285714,68.09873583,23,33,83.55026065,101.0331075,0.14174321,5.42E-05,3.11088319,139.8849309
2/18/1990,TSN,10.818797,106.651856,1990,2,18,0.21,22.05142857,27.92857143,71.99105407,23.1,33,94.10021749,101.0483698,0.33995194,7.41E-05,3.134485334,129.4638215
2/19/1990,TSN,10.818797,106.651856,1990,2,19,0.21,22.065,28.57,69.93031384,23.2,33,94.14301015,101.0768592,0.152566893,7.12E-05,2.673276079,121.1481428
2/20/1990,TSN,10.818797,106.651856,1990,2,20,0.21,21.9975,28.2625,70.01130805,23,32,88.6689178,101.0447133,0.186067264,6.79E-05,3.090825913,130.4158715
2/21/1990,TSN,10.818797,106.651856,1990,2,21,0.21,21.60285714,26.94,73.8204597,23,33,88.5887773,100.9512165,0.286965573,1.91E-07,3.276528692,134.8475871
2/22/1990,TSN,10.818797,106.651856,1990,2,22,0.21,21.02962963,27.11851852,71.54552472,24,33,94.18534382,100.9104188,0.295392707,5.17E-06,2.848912529,142.2253613
